Subject,Predicate,Object
place/United_Kingdom,dc:isPartOf,place/Europe
place/Italy,dc:isPartOf,place/Europe
place/Belgium,dc:isPartOf,place/Europe
wd:Q8274,schema:locationCreated,place/Japan
wd:Q21198342,schema:locationCreated,place/Japan
wd:Q21198342,skos:broader,wd:Q8274
object/Cookie,rdag1:placeOfPublication,place/Japan
object/Ultra_Jump,rdag1:placeOfPublication,place/Japan
object/Weekly_Shonen_Jump,rdag1:placeOfPublication,place/Japan
organization/Shueisha,schema:locationCreated,place/Japan
organization/Shueisha,rdf:type,foaf:Organization
place/Europe,rdf:type,schema:Continent
place/Europe,skos:narrower,place/United_Kingdom
place/Europe,skos:narrower,place/Italy
place/Europe,skos:narrower,place/Belgium
object/Ultra_Jump,rdf:type,fabio:Periodical
object/Weekly_Shonen_Jump,rdf:type,fabio:Periodical
person/Hirohiko_Araki,schema:birthPlace,place/Japan
person/Hirohiko_Araki,rdf:type,foaf:Person
organization/The_Examiner,rdf:type,foaf:Organization
object/English_Romantism,schema:locationCreated,place/United_Kingdom
object/English_Romantism,rdf:type,dbo:LiteraryGenre
organization/The_Examiner,rdag1:placeOfPublication,place/United_Kingdom
person/Percy_Bysshe_Shelley,schema:birthPlace,place/United_Kingdom
person/Percy_Bysshe_Shelley,rdf:type,foaf:Person
object/Cookie,rdf:type,fabio:Periodical
person/Ai_Yazawa,schema:birthPlace,place/Japan
person/Ai_Yazawa,rdf:type,foaf:Person
person/Vivienne_Westwood,schema:birthPlace,place/United_Kingdom
organization/Victoria_and_Albert_Museum,gn:locatedIn,place/United_Kingdom
organization/Victoria_and_Albert_Museum,rdf:type,foaf:Organization
person/Vivienne_Westwood,rdf:type,foaf:Person
organization/Gucci,schema:locationCreated,place/Italy
organization/Gucci,rdf:type,foaf:Organization
object/Runway_Show,gvp:aat2422_takes_place_in,place/Italy
object/Runway_Show,dc:title,"""Gucci Women's Fall-Winter 2011-12 Runway Show"""
object/Runway_Show,rdf:type,schema:Event
organization/Virgin_Records,schema:locationCreated,place/United_Kingdom
person/Sex_Pistols,schema:locationCreated,place/United_Kingdom
object/Rock,schema:locationCreated,place/United_Kingdom
object/Rock,schema:locationCreated,place/United_States_of_America
object/Rock,rdf:type,dbo:MusicGenre
person/Sex_Pistols,rdf:type,schema:MusicGroup
organization/Virgin_Records,rdf:type,foaf:Organization
organization/The_MET_Museum,gn:locatedIn,place/United_States_of_America
person/Euphiletos_Painter,schema:birthPlace,place/Ancient_Greece
place/Ancient_Greece,dc:isPartOf,place/Europe
person/Euphiletos_Painter,rdf:type,foaf:Person
place/Ancient_Greece,rdf:type,dbo:Place
organization/The_MET_Museum,rdf:type,foaf:Organization
person/Rene_Magritte,rdf:type,foaf:Person
organization/Menil_Collection,gn:locatedIn,place/United_States_of_America
person/Rene_Magritte,schema:birthPlace,place/Belgium
object/Belgian_Surrealism,schema:locationCreated,place/Belgium
object/Belgian_Surrealism,rdf:type,dbo:ArtisticGenre
organization/Menil_Collection,rdf:type,foaf:Organization
organization/Trident_Studios,gn:locatedIn,place/United_Kingdom
object/Sheer_Heart_Attack,dc:publisher,organization/Trident_Studios
person/Queen,rdf:type,schema:MusicGroup
object/Sheer_Heart_Attack,rdf:type,schema:MusicAlbum
organization/Trident_Studios,rdf:type,foaf:Organization
person/Carlo_Ponti,schema:birthPlace,place/Italy
person/Michelangelo_Antonioni,schema:birthPlace,place/Italy
person/Carlo_Ponti,rdf:type,foaf:Person
person/Michelangelo_Antonioni,rdf:type,foaf:Person
person/Ai_Yazawa,owl:sameAs,viaf:116608684
person/Hirohiko_Araki,owl:sameAs,viaf:51908743
person/Percy_Bysshe_Shelley,owl:sameAs,viaf:95159449
person/Vivienne_Westwood,owl:sameAs,viaf:85586601
person/Sex_Pistols,owl:sameAs,wd:Q82545
person/Euphiletos_Painter,owl:sameAs,wd:Q1374087
person/Rene_Magritte,owl:sameAs,viaf:69008939
person/Queen,owl:sameAs,viaf:133624743
person/Carlo_Ponti,owl:sameAs,viaf:117455224
person/Michelangelo_Antonioni,owl:sameAs,viaf:110291829
organization/Gucci,owl:sameAs,wd:Q178516
place/United_Kingdom,owl:sameAs,tgn:7008591
place/Italy,owl:sameAs,tgn:1000080
place/Belgium,owl:sameAs,tgn:1000063
place/Europe,owl:sameAs,tgn:1000003
place/Japan,owl:sameAs,tgn:1000120
place/United_States_of_America,owl:sameAs,tgn:7012149
place/Ancient_Greece,owl:sameAs,wd:Q11772
place/United_Kingdom,rdf:type,schema:Country
place/Italy,rdf:type,schema:Country
place/Belgium,rdf:type,schema:Country
place/Japan,rdf:type,schema:Country
place/United_States_of_America,rdf:type,schema:Country
